Semaine,Date,Horaire,Groupe
36,mercredi,[13.5 ; 16.3],GRA
37,lundi,[10.0 ; 12.5],TP2
37,mercredi,[13.5 ; 16.0],TP1
37,jeudi,[16.5 ; 19.0],TP3
37,mercredi,[13.5 ; 16.3],GRB
38,lundi,[10.0 ; 12.5],TP1
38,mercredi,[13.5 ; 16.0],TP3
38,jeudi,[16.5 ; 19.0],TP2
38,mercredi,[13.5 ; 16.3],GRA
39,lundi,[10.0 ; 12.5],TP3
39,mercredi,[13.5 ; 16.0],TP1
39,jeudi,[16.5 ; 19.0],TP2
39,mercredi,[13.5 ; 16.3],GRB
40,lundi,[10.0 ; 12.5],TP2
40,mercredi,[13.5 ; 16.0],TP3
40,jeudi,[16.5 ; 19.0],TP1
40,mercredi,[13.5 ; 16.3],GRA
41,lundi,[10.0 ; 12.5],TP3
41,mercredi,[13.5 ; 16.0],TP1
41,jeudi,[16.5 ; 19.0],TP2
41,mercredi,[13.5 ; 16.3],GRB
42,lundi,[10.0 ; 12.5],TP1
42,mercredi,[13.5 ; 16.0],TP3
42,jeudi,[16.5 ; 19.0],TP2
42,mercredi,[13.5 ; 16.3],GRA
45,lundi,[10.0 ; 12.5],TP2
45,mercredi,[13.5 ; 16.0],TP1
45,jeudi,[16.5 ; 19.0],TP3
45,mercredi,[13.5 ; 16.3],GRB
46,lundi,[10.0 ; 12.5],TP1
46,mercredi,[13.5 ; 16.0],TP3
46,jeudi,[16.5 ; 19.0],TP2
46,mercredi,[13.5 ; 16.3],GRA
47,lundi,[10.0 ; 12.5],TP3
47,mercredi,[13.5 ; 16.0],TP1
47,jeudi,[16.5 ; 19.0],TP2
47,mercredi,[13.5 ; 16.3],GRB
48,lundi,[10.0 ; 12.5],TP2
48,mercredi,[13.5 ; 16.0],TP3
48,jeudi,[16.5 ; 19.0],TP1
48,mercredi,[13.5 ; 16.3],GRA
49,lundi,[10.0 ; 12.5],TP3
49,mercredi,[13.5 ; 16.0],TP1
49,jeudi,[16.5 ; 19.0],TP2
49,mercredi,[13.5 ; 16.3],GRB
50,lundi,[10.0 ; 12.5],TP1
50,mercredi,[13.5 ; 16.0],TP3
50,jeudi,[16.5 ; 19.0],TP2
50,mercredi,[13.5 ; 16.3],GRA
2,lundi,[10.0 ; 12.5],TP2
2,mercredi,[13.5 ; 16.0],TP1
2,jeudi,[16.5 ; 19.0],TP3
2,mercredi,[13.5 ; 16.3],GRB
3,lundi,[10.0 ; 12.5],TP1
3,mercredi,[13.5 ; 16.0],TP3
3,jeudi,[16.5 ; 19.0],TP2
3,mercredi,[13.5 ; 16.3],GRA
4,lundi,[10.0 ; 12.5],TP3
4,mercredi,[13.5 ; 16.0],TP1
4,jeudi,[16.5 ; 19.0],TP2
4,mercredi,[13.5 ; 16.3],GRB
5,lundi,[10.0 ; 12.5],TP2
5,mercredi,[13.5 ; 16.0],TP3
5,jeudi,[16.5 ; 19.0],TP1
5,mercredi,[13.5 ; 16.3],GRA
6,lundi,[10.0 ; 12.5],TP3
6,mercredi,[13.5 ; 16.0],TP1
6,jeudi,[16.5 ; 19.0],TP2
6,mercredi,[13.5 ; 16.3],GRB
7,lundi,[10.0 ; 12.5],TP1
7,mercredi,[13.5 ; 16.0],TP3
7,jeudi,[16.5 ; 19.0],TP2
7,mercredi,[13.5 ; 16.3],GRA
8,lundi,[10.0 ; 12.5],TP2
8,lundi,[17.0 ; 19.0],TD Info
8,mercredi,[13.5 ; 16.0],TP1
8,mercredi,[16.5 ; 19.0],TP3
8,jeudi,[13.5 ; 16.3],TP2
8,jeudi,[17.0 ; 19.0],TP1
11,lundi,[10.0 ; 12.5],TP1
11,mercredi,[13.5 ; 16.0],TP3
11,jeudi,[16.5 ; 19.0],TP2
11,mercredi,[13.5 ; 16.3],GRA
12,lundi,[10.0 ; 12.5],TP3
12,mercredi,[13.5 ; 16.0],TP1
12,jeudi,[16.5 ; 19.0],TP2
12,mercredi,[13.5 ; 16.3],GRB
13,lundi,[10.0 ; 12.5],TP2
13,mercredi,[13.5 ; 16.0],TP3
13,jeudi,[16.5 ; 19.0],TP1
13,mercredi,[13.5 ; 16.3],GRA
14,lundi,[10.0 ; 12.5],TP3
14,mercredi,[13.5 ; 16.0],TP1
14,jeudi,[16.5 ; 19.0],TP2
14,mercredi,[13.5 ; 16.3],GRB
15,lundi,[10.0 ; 12.5],TP1
15,mercredi,[13.5 ; 16.0],TP3
15,jeudi,[16.5 ; 19.0],TP2
15,mercredi,[13.5 ; 16.3],GRA
16,lundi,[10.0 ; 12.5],TP2
16,mercredi,[13.5 ; 16.0],TP1
16,jeudi,[16.5 ; 19.0],TP3
16,mercredi,[13.5 ; 16.3],GRB
19,lundi,[10.0 ; 12.5],TP1
19,mercredi,[13.5 ; 16.0],VICTOIRE 1945
19,jeudi,[16.5 ; 19.0],ASCENSION
19,mercredi,[13.5 ; 16.3],VICTOIRE 1945
20,lundi,[10.0 ; 12.5],TP3
20,mercredi,[13.5 ; 16.0],TP3
20,jeudi,[16.5 ; 19.0],TP2
20,mercredi,[13.5 ; 16.3],GRA
21,lundi,[10.0 ; 12.5],PENTECOTE
21,mercredi,[13.5 ; 16.0],TP1
21,jeudi,[16.5 ; 19.0],TP2
21,mercredi,[13.5 ; 16.3],GRB
22,lundi,[10.0 ; 12.5],TP3
22,mercredi,[13.5 ; 16.0],TP3
22,jeudi,[16.5 ; 19.0],TP1
22,mercredi,[13.5 ; 16.3],GRA
23,lundi,[10.0 ; 12.5],TP1
23,mercredi,[13.5 ; 16.0],TP1
23,jeudi,[16.5 ; 19.0],TP2
23,mercredi,[13.5 ; 16.3],GRB
24,lundi,[10.0 ; 12.5],TP2
24,mercredi,[13.5 ; 16.0],TP3
24,jeudi,[16.5 ; 19.0],TP2+REVISIONS
24,mercredi,[13.5 ; 16.3],GRA
25,lundi,[10.0 ; 12.5],REVISIONS
25,mercredi,[13.5 ; 16.0],CCB
25,jeudi,[16.5 ; 19.0],CCB